name,filename,label,spectral_type,fe_h,source,enabled
s0065,empirical/s0065.csv,MILES 0065 K3III,K3III,-0.25,MILES ID 0065 (HD010380),false
s0114,empirical/s0114.csv,MILES 0114 K3III,K3III,0.08,MILES ID 0114 (HD020893),false
s0795,empirical/s0795.csv,MILES 0795 K0III,K0III,0.19,MILES ID 0795 (HD203638),false
s0227,empirical/s0227.csv,MILES 0227 K5III,K5III,0.05,MILES ID 0227 (HD047914),false
s0286,empirical/s0286.csv,MILES 0286 G8III,G8III,0.27,MILES ID 0286 (HD065714),false
hd210066,empirical/hd210066.csv,UVES-POP HD210066 K4III,K4III,,UVES-POP HD210066 (R~80000),true
hd138688,empirical/hd138688.csv,UVES-POP HD138688 K2/K3III,K2/3III,,UVES-POP HD138688 (R~80000),true
ic2391-0022,empirical/ic2391-0022.csv,UVES-POP IC2391-0022,K0III,,UVES-POP IC2391-0022 (R~80000),false
hd107446,empirical/hd107446.csv,UVES-POP HD107446 K3III,K3III,-0.398,UVES-POP HD107446 (R~80000),true
hd083240,empirical/hd083240.csv,UVES-POP HD083240 K1III,K1III,-0.118,UVES-POP HD083240 (R~80000),true
hd121416,empirical/hd121416.csv,UVES-POP HD121416 K1III,K1III,0.0460,UVES-POP HD121416 (R~80000),true
hd011643,empirical/hd011643.csv,UVES-POP HD011643 K1/2III,K1/2III,0.0270,UVES-POP HD011643 (R~80000),true
hd119149,empirical/hd119149.csv,UVES-POP HD119149 M1+III,M1+III,0.0310,UVES-POP HD119149 (R~80000),false
